TYPE_OF_CANCER_ID	NAME	CLINICAL_TRIAL_KEYWORDS	DEDICATED_COLOR	SHORT_NAME	PARENT
fdcs	Follicular Dendritic Cell Sarcoma	follicular dendritic cell sarcoma	LightYellow	FDCS	hdcn
fhptld	Florid Follicular Hyperplasia PTLD	florid follicular hyperplasia ptld	LimeGreen	FHPTLD	ptld
fhrcc	FH-Deficient Renal Cell Carcinoma	fh-deficient renal cell carcinoma	Orange	FHRCC	nccrcc
fibs	Fibrosarcoma	fibrosarcoma	LightYellow	FIBS	soft_tissue
fios	Fibroblastic Osteosarcoma	fibroblastic osteosarcoma	White	FIOS	os
fl	Follicular Lymphoma	follicular lymphoma	LimeGreen	FL	mbn
flc	Fibrolamellar Carcinoma	fibrolamellar carcinoma	MediumSeaGreen	FLC	liver
frct	Fibroblastic Reticular Cell Tumor	fibroblastic reticular cell tumor	LightSalmon	FRCT	hdcn
ft	Fibrothecoma	fibrothecoma	LightBlue	FT	scst
ftcl	Follicular T-Cell Lymphoma	follicular t-cell lymphoma	LimeGreen	FTCL	mtnn
gb	Glioblastoma	glioblastoma	Gray	GB	difg
gbad	Gallbladder Adenocarcinoma, NOS	gallbladder adenocarcinoma, nos	Green	GBAD	gbc
gbasc	Adenosquamous Carcinoma of the Gallbladder	adenosquamous carcinoma of the gallbladder	Green	GBASC	gbc
gbc	Gallbladder Cancer	gallbladder cancer	Green	GBC	biliary_tract
gbm	Glioblastoma Multiforme	glioblastoma multiforme	Gray	GBM	gb
gcb	Germinal Center B-Cell Type	germinal center b-cell type	LimeGreen	GCB	dlbclnos
gccap	Goblet Cell Carcinoid of the Appendix	goblet cell carcinoid of the appendix	SaddleBrown	GCCAP	apad
gcemu	Gastric Type Mucinous Carcinoma	gastric type mucinous carcinoma	Teal	GCEMU	cemu
gclc	Giant Cell Carcinoma of the Lung	giant cell carcinoma of the lung	Gainsboro	GCLC	lclc
gct	Granular Cell Tumor	granular cell tumor	Gray	GCT	selt
gctb	Giant Cell Tumor of Bone	giant cell tumor of bone	White	GCTB	bone
gctstm	Germ Cell Tumor with Somatic-Type Malignancy	germ cell tumor with somatic-type malignancy	Red	GCTSTM	nsgct
gej	Adenocarcinoma of the Gastroesophageal Junction	adenocarcinoma of the gastroesophageal junction	LightSkyBlue	GEJ	egc
ghcd	Gamma Heavy-Chain Disease	gamma heavy-chain disease	LimeGreen	GHCD	mbn
ginet	Gastrointestinal Neuroendocrine Tumors	gastrointestinal neuroendocrine tumors	SaddleBrown	GINET	bowel
ginetes	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach	gastrointestinal neuroendocrine tumors of the esophagus/stomach	LightSkyBlue	GINETES	stomach
gist	Gastrointestinal Stromal Tumor	gastrointestinal stromal tumor	LightYellow	GIST	soft_tissue
gmn	Germinoma	germinoma	Gray	GMN	bgct
gn	Ganglioneuroma	ganglioneuroma	Gray	GN	pns
gnbl	Ganglioneuroblastoma	ganglioneuroblastoma	Gray	GNBL	pns
gnc	Gangliocytoma	gangliocytoma	Gray	GNC	encg
gng	Ganglioglioma	ganglioglioma	Gray	GNG	encg
gnos	Glioma, NOS	glioma, nos	Gray	GNOS	difg
grc	Gastric Remnant Adenocarcinoma	gastric remnant adenocarcinoma	LightSkyBlue	GRC	egc
grct	Granulosa Cell Tumor	granulosa cell tumor	LightBlue	GRCT	scst
gs	Glomangiosarcoma	glomangiosarcoma	LightYellow	GS	soft_tissue
gsarc	Gliosarcoma	gliosarcoma	Gray	GSARC	gb
gtd	Gestational Trophoblastic Disease	gestational trophoblastic disease	PeachPuff	GTD	uterus
hcc	Hepatocellular Carcinoma	hepatocellular carcinoma	MediumSeaGreen	HCC	liver
hccihch	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	hepatocellular carcinoma plus intrahepatic cholangiocarcinoma	MediumSeaGreen	HCCIHCH	liver
hcl	Hairy Cell Leukemia	hairy cell leukemia	LimeGreen	HCL	mbn
hcl-v	Hairy Cell Leukemia-Variant	hairy cell leukemia-variant	LimeGreen	HCL-V	sblu
hdcn	Histiocytic and Dendritic Cell Neoplasms	histiocytic and dendritic cell neoplasms	LightSalmon	HDCN	mnm
hdcs	Histiocytic Dendritic Cell Sarcoma	histiocytic dendritic cell sarcoma	LightYellow	HDCS	dcs
head_neck	Head and Neck	head and neck	DarkRed	HEAD_NECK	tissue
hema	Hemangioma	hemangioma	LightYellow	HEMA	soft_tissue
hgbcl	High-Grade B-Cell Lymphoma, NOS	high-grade b-cell lymphoma, nos	LimeGreen	HGBCL	mbn
hgbclmycbcl2	High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements	high-grade b-cell lymphoma, with myc and bcl2 and/or bcl6 rearrangements	LimeGreen	HGBCLMYCBCL2	mbn
hgess	High-Grade Endometrial Stromal Sarcoma	high-grade endometrial stromal sarcoma	PeachPuff	HGESS	ess
hggnos	High-Grade Glioma, NOS	high-grade glioma, nos	Gray	HGGNOS	difg
hgnec	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	high-grade neuroendocrine carcinoma of the colon and rectum	SaddleBrown	HGNEC	ginet
hgnee	High-Grade Neuroendocrine Carcinoma of the Esophagus	high-grade neuroendocrine carcinoma of the esophagus	LightSkyBlue	HGNEE	ginetes
hgnes	High-Grade Neuroendocrine Carcinoma of the Stomach	high-grade neuroendocrine carcinoma of the stomach	LightSkyBlue	HGNES	ginetes
hgnet	High-Grade Neuroepithelial Tumor	high-grade neuroepithelial tumor	Gray	HGNET	mbt
hgonec	High-Grade Neuroendocrine Carcinoma of the Ovary	high-grade neuroendocrine carcinoma of the ovary	LightBlue	HGONEC	oovc
hgsft	High-Grade Serous Fallopian Tube Cancer	high-grade serous fallopian tube cancer	LightBlue	HGSFT	oovc
hgsoc	High-Grade Serous Ovarian Cancer	high-grade serous ovarian cancer	LightBlue	HGSOC	soc
hgsos	High-Grade Surface Osteosarcoma	high-grade surface osteosarcoma	White	HGSOS	os
hhv8dlbcl	HHV8 Positive DLBCL, NOS	hhv8 positive dlbcl, nos	LimeGreen	HHV8DLBCL	mbn
hl	Hodgkin Lymphoma	hodgkin lymphoma	LimeGreen	HL	lnm
hmbl	Hemangioblastoma	hemangioblastoma	Gray	HMBL	mbt
hnmasc	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	mammary analogue secretory carcinoma of salivary gland origin	DarkRed	HNMASC	saca
hnmucm	Head and Neck Mucosal Melanoma	head and neck mucosal melanoma	DarkRed	HNMUCM	head_neck
hnne	Head and Neck Neuroendocrine Carcinoma	head and neck neuroendocrine carcinoma	DarkRed	HNNE	ohnca
hnsc	Head and Neck Squamous Cell Carcinoma	head and neck squamous cell carcinoma	DarkRed	HNSC	head_neck
hnscup	Head and Neck Squamous Cell Carcinoma of Unknown Primary	head and neck squamous cell carcinoma of unknown primary	DarkRed	HNSCUP	hnsc
hpccns	Hemangiopericytoma of the Central Nervous System	hemangiopericytoma of the central nervous system	Gray	HPCCNS	mngt
hphsc	Hypopharynx Squamous Cell Carcinoma	hypopharynx squamous cell carcinoma	DarkRed	HPHSC	hnsc
hs	Histiocytic Sarcoma	histiocytic sarcoma	LightSalmon	HS	hdcn
hstcl	Hepatosplenic T-cell Lymphoma	hepatosplenic t-cell lymphoma	LimeGreen	HSTCL	mtnn
htat	Hyalinizing Trabecular Adenoma of the Thyroid	hyalinizing trabecular adenoma of the thyroid	Teal	HTAT	thyroid
hvll	Hydroa Vacciniforme Like Lymphoproliferative Disorder	hydroa vacciniforme like lymphoproliferative disorder	LimeGreen	HVLL	mtnn
iampca	Intestinal Ampullary Carcinoma	intestinal ampullary carcinoma	Purple	IAMPCA	ampca
ibc	Inflammatory Breast Cancer	inflammatory breast cancer	HotPink	IBC	breast
icemu	Intestinal Type Mucinous Carcinoma	intestinal type mucinous carcinoma	Teal	ICEMU	cemu
idc	Breast Invasive Ductal Carcinoma	breast invasive ductal carcinoma	HotPink	IDC	brca
idcs	Interdigitating Dendritic Cell Sarcoma	interdigitating dendritic cell sarcoma	LightYellow	IDCS	hdcn
idct	Indeterminate Dendritic Cell Tumor	indeterminate dendritic cell tumor	LightSalmon	IDCT	hdcn
ifs	Infantile Fibrosarcoma	infantile fibrosarcoma	LightYellow	IFS	soft_tissue
ihch	Intrahepatic Cholangiocarcinoma	intrahepatic cholangiocarcinoma	Green	IHCH	chol
ihm	Invasive Hydatidiform Mole	invasive hydatidiform mole	PeachPuff	IHM	mp
ilc	Breast Invasive Lobular Carcinoma	breast invasive lobular carcinoma	HotPink	ILC	brca
immc	Breast Invasive Mixed Mucinous Carcinoma	breast invasive mixed mucinous carcinoma	HotPink	IMMC	brca
imptld	Infectious Mononucleosis PTLD	infectious mononucleosis ptld	LimeGreen	IMPTLD	ptld
ims	Myofibromatosis	myofibromatosis	LightYellow	IMS	soft_tissue
imt	Inflammatory Myofibroblastic Tumor	inflammatory myofibroblastic tumor	LightYellow	IMT	soft_tissue
imtb	Inflammatory Myofibroblastic Bladder Tumor	inflammatory myofibroblastic bladder tumor	Yellow	IMTB	bladder
imtl	Inflammatory Myofibroblastic Lung Tumor	inflammatory myofibroblastic lung tumor	Gainsboro	IMTL	lung
ints	Intimal Sarcoma	intimal sarcoma	LightYellow	INTS	soft_tissue
ipmn	Intraductal Papillary Mucinous Neoplasm	intraductal papillary mucinous neoplasm	Purple	IPMN	pact
isfn	In Situ Follicular Neoplasia	in situ follicular neoplasia	LimeGreen	ISFN	fl
ism	Indolent Systemic Mastocytosis	indolent systemic mastocytosis	LightSalmon	ISM	sm
ismcl	In Situ Mantle Cell Neoplasia	in situ mantle cell neoplasia	LimeGreen	ISMCL	mcl
istad	Intestinal Type Stomach Adenocarcinoma	intestinal type stomach adenocarcinoma	LightSkyBlue	ISTAD	stad
itlpdgi	Indolent T-Cell Lymphoproliferative Disorder of the GI Tract	indolent t-cell lymphoproliferative disorder of the gi tract	LimeGreen	ITLPDGI	mtnn
iup	Inverted Urothelial Papilloma	inverted urothelial papilloma	Yellow	IUP	bladder
ivbcl	Intravascular Large B-Cell Lymphoma	intravascular large b-cell lymphoma	LimeGreen	IVBCL	mbn
jmml	Juvenile Myelomonocytic Leukemia	juvenile myelomonocytic leukemia	LightSalmon	JMML	mds/mpn
jscb	Juvenile Secretory Carcinoma of the Breast	juvenile secretory carcinoma of the breast	HotPink	JSCB	breast
jxg	Disseminated Juvenile Xanthogranuloma	disseminated juvenile xanthogranuloma	LightSalmon	JXG	hdcn
kidney	Kidney	kidney	Orange	KIDNEY	tissue
lais	Lung Adenocarcinoma In Situ	lung adenocarcinoma in situ	Gainsboro	LAIS	lung
lam	Pulmonary Lymphangiomyomatosis	pulmonary lymphangiomyomatosis	Gainsboro	LAM	lung
latl	Lymphoid Atypical	lymphoid atypical	LimeGreen	LATL	lymph
lbgn	Lymphoid Benign	lymphoid benign	LimeGreen	LBGN	lymph
lblirf4	Large B-Cell Lymphoma with IRF4 Rearrangement	large b-cell lymphoma with irf4 rearrangement	LimeGreen	LBLIRF4	mbn
lch	Langerhans Cell Histiocytosis	langerhans cell histiocytosis	LightSalmon	LCH	hdcn
lcis	Breast Lobular Carcinoma In Situ	breast lobular carcinoma in situ	HotPink	LCIS	breast
lclc	Large Cell Lung Carcinoma	large cell lung carcinoma	Gainsboro	LCLC	nsclc
lcs	Langerhans Cell Sarcoma	langerhans cell sarcoma	LightSalmon	LCS	hdcn
ldchl	Lymphocyte-Depleted Classical Hodgkin Lymphoma	lymphocyte-depleted classical hodgkin lymphoma	LimeGreen	LDCHL	chl
ldd	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease	dysplastic gangliocytoma of the cerebellum/lhermitte-duclos disease	Gray	LDD	mnet
leclc	Lymphoepithelioma-like Carcinoma of the Lung	lymphoepithelioma-like carcinoma of the lung	Gainsboro	LECLC	lclc
lgcos	Low-Grade Central Osteosarcoma	low-grade central osteosarcoma	White	LGCOS	os
lgess	Low-Grade Endometrial Stromal Sarcoma	low-grade endometrial stromal sarcoma	PeachPuff	LGESS	ess
lgfms	Low-Grade Fibromyxoid Sarcoma	low-grade fibromyxoid sarcoma	LightYellow	LGFMS	soft_tissue
lggnos	Low-Grade Glioma, NOS	low-grade glioma, nos	Gray	LGGNOS	encg
lgnet	Low-Grade Neuroepithelial Tumor	low-grade neuroepithelial tumor	Gray	LGNET	mbt
lgsoc	Low-Grade Serous Ovarian Cancer	low-grade serous ovarian cancer	LightBlue	LGSOC	soc
liad	Hepatocellular Adenoma	hepatocellular adenoma	MediumSeaGreen	LIAD	liver
lias	Liver Angiosarcoma	liver angiosarcoma	MediumSeaGreen	LIAS	liver
lihb	Hepatoblastoma	hepatoblastoma	MediumSeaGreen	LIHB	liver
limnet	Malignant Nonepithelial Tumor of the Liver	malignant nonepithelial tumor of the liver	MediumSeaGreen	LIMNET	liver
lipo	Liposarcoma	liposarcoma	LightYellow	LIPO	soft_tissue
liver	Liver	liver	MediumSeaGreen	LIVER	tissue
lm	Leiomyoma	leiomyoma	LightYellow	LM	soft_tissue
lms	Leiomyosarcoma	leiomyosarcoma	LightYellow	LMS	soft_tissue
lnet	Lung Neuroendocrine Tumor	lung neuroendocrine tumor	Gainsboro	LNET	lung
lnm	Lymphoid Neoplasm	lymphoid neoplasm	LimeGreen	LNM	lymph
lpl	Lymphoplasmacytic Lymphoma	lymphoplasmacytic lymphoma	LimeGreen	LPL	mbn
lrchl	Lymphocyte-Rich Classical Hodgkin Lymphoma	lymphocyte-rich classical hodgkin lymphoma	LimeGreen	LRCHL	chl
luacc	Adenoid Cystic Carcinoma of the Lung	adenoid cystic carcinoma of the lung	Gainsboro	LUACC	sgttl
luad	Lung Adenocarcinoma	lung adenocarcinoma	Gainsboro	LUAD	nsclc
luas	Lung Adenosquamous Carcinoma	lung adenosquamous carcinoma	Gainsboro	LUAS	nsclc
luca	Lung Carcinoid	lung carcinoid	Gainsboro	LUCA	lnet
lumec	Mucoepidermoid Carcinoma of the Lung	mucoepidermoid carcinoma of the lung	Gainsboro	LUMEC	sgttl
lune	Large Cell Neuroendocrine Carcinoma	large cell neuroendocrine carcinoma	Gainsboro	LUNE	lnet
lung	Lung	lung	Gainsboro	LUNG	tissue
lupc	Pleomorphic Carcinoma of the Lung	pleomorphic carcinoma of the lung	Gainsboro	LUPC	nsclc
lusc	Lung Squamous Cell Carcinoma	lung squamous cell carcinoma	Gainsboro	LUSC	nsclc
lxsc	Larynx Squamous Cell Carcinoma	larynx squamous cell carcinoma	DarkRed	LXSC	hnsc
lyg	Lymphomatoid Granulomatosis	lymphomatoid granulomatosis	LimeGreen	LYG	mbn
lymph	Lymphoid	lymphoid	LimeGreen	LYMPH	tissue
lyp	Lymphomatoid Papulosis	lymphomatoid papulosis	LimeGreen	LYP	pclpd
maap	Mucinous Adenocarcinoma of the Appendix	mucinous adenocarcinoma of the appendix	SaddleBrown	MAAP	apad
mac	Microcystic Adnexal Carcinoma	microcystic adnexal carcinoma	Black	MAC	skin
macr	Mucinous Adenocarcinoma of the Colon and Rectum	mucinous adenocarcinoma of the colon and rectum	SaddleBrown	MACR	coadread
mampca	Mixed Ampullary Carcinoma	mixed ampullary carcinoma	Purple	MAMPCA	ampca
masc	Metaplastic Adenosquamous Carcinoma	metaplastic adenosquamous carcinoma	HotPink	MASC	embc
mascc	Metaplastic Adenocarcinoma with Spindle Cell Differentiation	metaplastic adenocarcinoma with spindle cell differentiation	HotPink	MASCC	embc
matpl	Myeloid Atypical	myeloid atypical	LightSalmon	MATPL	myeloid
mbc	Metaplastic Breast Cancer	metaplastic breast cancer	HotPink	MBC	breast
mben	Medulloblastoma with Extensive Nodularity	medulloblastoma with extensive nodularity	Gray	MBEN	embt
mbgn	Myeloid Benign	myeloid benign	LightSalmon	MBGN	myeloid
mbl	Medulloblastoma	medulloblastoma	Gray	MBL	embt
mbn	Mature B-Cell Neoplasms	mature b-cell neoplasms	LimeGreen	MBN	nhl
mbov	Mucinous Borderline Ovarian Tumor	mucinous borderline ovarian tumor	LightBlue	MBOV	ovt
mbt	Miscellaneous Brain Tumor	miscellaneous brain tumor	Gray	MBT	brain
mcbcl	Monoclonal B-Cell Lymphocytosis	monoclonal b-cell lymphocytosis	LimeGreen	MCBCL	mbn
mcc	Merkel Cell Carcinoma	merkel cell carcinoma	Black	MCC	skin
mcce	Mixed Cervical Carcinoma	mixed cervical carcinoma	Teal	MCCE	cervix
mcchl	Mixed Cellularity Classical Hodgkin Lymphoma	mixed cellularity classical hodgkin lymphoma	LimeGreen	MCCHL	chl
mcd	Mastocytosis	mastocytosis	LightSalmon	MCD	mnm
mchs	Mesenchymal Chondrosarcoma	mesenchymal chondrosarcoma	White	MCHS	chs
mchscns	Mesenchymal Chondrosarcoma of the CNS	mesenchymal chondrosarcoma of the cns	Gray	MCHSCNS	mbt
mcl	Mantle Cell Lymphoma	mantle cell lymphoma	LimeGreen	MCL	mbn
mcn	Mucinous Cystic Neoplasm	mucinous cystic neoplasm	Purple	MCN	pact
mcs	Metaplastic Carcinosarcoma	metaplastic carcinosarcoma	HotPink	MCS	mmbc
mcsl	Mast Cell Sarcoma	mast cell sarcoma	LightSalmon	MCSL	mcd
mdep	Medulloepithelioma	medulloepithelioma	Gray	MDEP	embt
mdlc	Breast Mixed Ductal and Lobular Carcinoma	breast mixed ductal and lobular carcinoma	HotPink	MDLC	brca
mds	Myelodysplastic Syndromes	myelodysplastic syndromes	LightSalmon	MDS	mnm
mds/mpn	Myelodysplastic/Myeloproliferative Neoplasms	myelodysplastic/myeloproliferative neoplasms	LightSalmon	MDS/MPN	mnm
mdseb	MDS with Excess Blasts	mds with excess blasts	LightSalmon	MDSEB	mds
mdseb1	MDS with excess blasts-1	mds with excess blasts-1	LightSalmon	MDSEB1	mdseb
mdseb2	MDS with excess blasts-2	mds with excess blasts-2	LightSalmon	MDSEB2	mdseb
mdsid5q	MDS with Isolated Del(5q)	mds with isolated del(5q)	LightSalmon	MDSID5Q	mds
mdsmd	MDS with Multilineage Dysplasia	mds with multilineage dysplasia	LightSalmon	MDSMD	mds
mdsmpnrst	MDS/MPN with Ring Sideroblasts and Thrombocytosis	mds/mpn with ring sideroblasts and thrombocytosis	LightSalmon	MDSMPNRST	mds/mpn
mdsmpnu	MDS/MPN, Unclassifiable	mds/mpn, unclassifiable	LightSalmon	MDSMPNU	mds/mpn
mdsrs	MDS with Ring Sideroblasts	mds with ring sideroblasts	LightSalmon	MDSRS	mds
mdsrsmd	MDS with Ring Sideroblasts and Multilineage Dysplasia	mds with ring sideroblasts and multilineage dysplasia	LightSalmon	MDSRSMD	mdsrs
mdsrssld	MDS with Ring Sideroblasts and Single Lineage Dysplasia	mds with ring sideroblasts and single lineage dysplasia	LightSalmon	MDSRSSLD	mdsrs
mdssld	MDS with Single Lineage Dysplasia	mds with single lineage dysplasia	LightSalmon	MDSSLD	mds
mdsu	MDS, Unclassifiable	mds, unclassifiable	LightSalmon	MDSU	mds
meitl	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma	monomorphic epitheliotropic intestinal t-cell lymphoma	LimeGreen	MEITL	mtnn
mel	Melanoma	melanoma	Black	MEL	skin
melc	Melanocytoma	melanocytoma	Gray	MELC	pcnsmt
mf	Myofibroma	myofibroma	LightYellow	MF	soft_tissue
mfh	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	undifferentiated pleomorphic sarcoma/malignant fibrous histiocytoma/high-grade spindle cell sarcoma	LightYellow	MFH	soft_tissue
mfs	Myxofibrosarcoma	myxofibrosarcoma	LightYellow	MFS	soft_tissue
mgct	Mixed Germ Cell Tumor	mixed germ cell tumor	Red	MGCT	nsgct
mgst	Malignant Glomus Tumor	malignant glomus tumor	LightYellow	MGST	soft_tissue
mgus	Monoclonal Gammopathy of Undetermined Significance	monoclonal gammopathy of undetermined significance	LimeGreen	MGUS	mbn
mgusiga	IgA	iga	LimeGreen	MGUSIGA	mgus
mgusigg	IgG	igg	LimeGreen	MGUSIGG	mgus
mgusigm	IgM	igm	LimeGreen	MGUSIGM	mgus
mhcd	Mu Heavy-Chain Disease	mu heavy-chain disease	LimeGreen	MHCD	mbn
midd	Monoclonal Immunoglobulin Deposition Diseases	monoclonal immunoglobulin deposition diseases	LimeGreen	MIDD	mbn
midda	Amyloidosis	amyloidosis	LimeGreen	MIDDA	midd
middo	Monoclonal Immunoglobulin Deposition Diseases, Other	monoclonal immunoglobulin deposition diseases, other	LimeGreen	MIDDO	midd
mixed	Mixed Cancer Types	mixed cancer types	Black	MIXED	cup
mlads	Myeloid Leukemia Associated with Down Syndrome	myeloid leukemia associated with down syndrome	LightSalmon	MLADS	mprds
mlner	Myeloid/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2	myeloid/lymphoid neoplasms with eosinophilia and rearrangement of  pdgfra/pdgfrb or fgfr1 or with pcm1-jak2	LightSalmon	MLNER	mnm
mlnfgfr1	Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement	myeloid/lymphoid neoplasms with fgfr1 rearrangement	LightSalmon	MLNFGFR1	mlner
mlnpcm1jak2	Myeloid/Lymphoid Neoplasms with PCM1-JAK2	myeloid/lymphoid neoplasms with pcm1-jak2	LightSalmon	MLNPCM1JAK2	mlner
mlnpdgfra	Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement	myeloid/lymphoid neoplasms with pdgfra rearrangement	LightSalmon	MLNPDGFRA	mlner
mlnpdgfrb	Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement	myeloid/lymphoid neoplasms with pdgfrb rearrangement	LightSalmon	MLNPDGFRB	mlner
mlym	Malignant Lymphoma	malignant lymphoma	Gray	MLYM	mbt
mmb	Medullomyoblastoma	medullomyoblastoma	Gray	MMB	embt
mmbc	Mixed Type Metaplastic Breast Cancer	mixed type metaplastic breast cancer	HotPink	MMBC	mbc
mmbl	Melanotic Medulloblastoma	melanotic medulloblastoma	Gray	MMBL	embt
mnet	Miscellaneous Neuroepithelial Tumor	miscellaneous neuroepithelial tumor	Gray	MNET	brain
mng	Meningioma	meningioma	Gray	MNG	mngt
mnglp	Myeloid Neoplasms with Germ Line Predisposition	myeloid neoplasms with germ line predisposition	LightSalmon	MNGLP	mnm
mngt	Meningothelial Tumor	meningothelial tumor	Gray	MNGT	brain
mnm	Myeloid Neoplasm	myeloid neoplasm	LightSalmon	MNM	myeloid
mov	Mucinous Ovarian Cancer	mucinous ovarian cancer	LightBlue	MOV	ovt
mp	Molar Pregnancy	molar pregnancy	PeachPuff	MP	gtd
mpalbcrabl1	Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1	mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2); bcr-abl1	LightSalmon	MPALBCRABL1	alal
mpalbnos	Mixed Phenotype Acute Leukemia, B/Myeloid, NOS	mixed phenotype acute leukemia, b/myeloid, nos	LightSalmon	MPALBNOS	alal
mpalkmt2a	Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged	mixed phenotype acute leukemia with t(v;11q23.3); kmt2a rearranged	LightSalmon	MPALKMT2A	alal
mpaltnos	Mixed Phenotype Acute Leukemia, T/Myeloid, NOS	mixed phenotype acute leukemia, t/myeloid, nos	LightSalmon	MPALTNOS	alal
mpc	Myopericytoma	myopericytoma	LightYellow	MPC	soft_tissue
mpe	Myxopapillary Ependymoma	myxopapillary ependymoma	Gray	MPE	epmt
mpn	Myeloproliferative Neoplasms	myeloproliferative neoplasms	LightSalmon	MPN	mnm
mpnst	Malignant Peripheral Nerve Sheath Tumor	malignant peripheral nerve sheath tumor	Gray	MPNST	nst
mpnu	Myeloproliferative Neoplasms, Unclassifiable	myeloproliferative neoplasms, unclassifiable	LightSalmon	MPNU	mpn
mprds	Myeloid Proliferations Related to Down Syndrome	myeloid proliferations related to down syndrome	LightSalmon	MPRDS	aml
mpt	Malignant Phyllodes Tumor of the Breast	malignant phyllodes tumor of the breast	HotPink	MPT	pt
