BS_ID	SQ_Value
BS_9NZ2D6AD	NantOmics
BS_9P9MB8X8	NantOmics
BS_9PB3XH5D	NantOmics
BS_9Q6Z6VJC	NantOmics
BS_9RT63JD9	NantOmics
BS_9SJWWYQ4	NantOmics
BS_9V633J1X	NantOmics
BS_9XVACXP0	NantOmics
BS_9XWJ88Q1	NantOmics
BS_A0DYVX9J	BGI@CHOP Genome Center
BS_A13BMEF5	NantOmics
BS_A14Z8BBK	NantOmics
BS_A1VEGWTR	NantOmics
BS_A3QZB9Y2	NantOmics
BS_A46RDWGM	NantOmics
BS_A7MC2KR2	NantOmics
BS_A7Q8G0Y1	NantOmics
BS_A87NPZAP	NantOmics
BS_A89VAPVV	NantOmics
BS_AA164D3A	NantOmics
BS_ABYF92Z9	NantOmics
BS_AD4JPN9Q	NantOmics
BS_AG3D3435	NantOmics
BS_AG4H9S3J	NantOmics
BS_AGS1HHGF	NantOmics
BS_AGTPCRR4	NantOmics
BS_AHEFXG7W	NantOmics
BS_AJ6X83G5	NantOmics
BS_AKRHBPNZ	NantOmics
BS_AM70R8RG	NantOmics
BS_AMQGM1V9	NantOmics
BS_AMZ70B6F	NantOmics
BS_AP0SZ364	NantOmics
BS_ARBQDTT5	NantOmics
BS_ARFQ1WG3	NantOmics
BS_AVYNZHSB	NantOmics
BS_AWH9757B	NantOmics
BS_AZN38B7V	NantOmics
BS_B0SVFK4P	NantOmics
BS_B1C6GZ84	NantOmics
BS_B1HVNV0T	NantOmics
BS_B24PKKQB	NantOmics
BS_B3M5SGPA	NantOmics
BS_B53Z0T1Q	NantOmics
BS_B61168DE	NantOmics
BS_B6M763JS	NantOmics
BS_B741RZY9	NantOmics
BS_B7GEH89C	NantOmics
BS_B7QS4DHK	NantOmics
BS_B7X8VXQ3	NantOmics
BS_B8T7M0WV	NantOmics
BS_B9V8RGTA	NantOmics
BS_BA6AZWB3	NantOmics
BS_BB0YW800	NantOmics
BS_BC936YNZ	NantOmics
BS_BHR08WGW	NantOmics
BS_BJDNWMJH	NantOmics
BS_BKQZ550R	NantOmics
BS_BKR4E30C	NantOmics
BS_BMMY0H73	BGI@CHOP Genome Center
BS_BN986DF6	NantOmics
BS_BPSTSCBJ	NantOmics
BS_BPWEFR89	NantOmics
BS_BSV07M7Z	NantOmics
BS_BVSW4GTG	NantOmics
BS_BWBDH9GM	NantOmics
BS_BXXJ9P8C	NantOmics
BS_C05FKR8X	NantOmics
BS_C0XFDP38	NantOmics
BS_C3P5BC92	NantOmics
BS_C41DJZ1F	NantOmics
BS_C51RB0YR	NantOmics
BS_C6SKJG3N	NantOmics
BS_C6ZZ3FY5	BGI@CHOP Genome Center
BS_C7A2TYAC	NantOmics
BS_C7N3J4NW	NantOmics
BS_C80S5N37	NantOmics
BS_C83TK159	The Translational Genomics Research Institute
BS_CB6VK7PB	NantOmics
BS_CGB2WS2A	NantOmics
BS_CHDGRYHJ	BGI@CHOP Genome Center
BS_CQEETJ66	NantOmics
BS_CQSAJ7BF	NantOmics
BS_CREQ97QC	NantOmics
BS_CS170P7T	NantOmics
BS_CS66RYDA	NantOmics
BS_CTR5X93B	NantOmics
BS_CVGFNCBJ	NantOmics
BS_CW9QV8AG	NantOmics
BS_CXVGG342	NantOmics
BS_CXVJK2FY	NantOmics
BS_CYEY58NY	NantOmics
BS_CZ3ER8DY	BGI@CHOP Genome Center
BS_CZ3NA7KV	BGI@CHOP Genome Center
BS_CZ82ANWP	NantOmics
BS_D0BGESQF	NantOmics
BS_D0RDN4K5	NantOmics
BS_D144EJRQ	NantOmics
BS_D29RPBSZ	NantOmics
BS_D2K9C7XR	NantOmics
BS_D3YBV7KB	NantOmics
BS_D4PJYHZ2	NantOmics
BS_D5NQV7N5	NantOmics
BS_D5P6EZ1M	NantOmics
BS_D7XRFE0R	BGI
BS_D8N31T39	NantOmics
BS_D9GEXXHX	NantOmics
BS_DBDXCXT5	NantOmics
BS_DBEX7AG2	NantOmics
BS_DEHJF4C7	NantOmics
BS_DFGS950G	BGI@CHOP Genome Center
BS_DFWFBYSN	NantOmics
