BS_ID	SQ_Value
BS_K2VYFVKZ	NantOmics
BS_K5802F84	NantOmics
BS_K59AGJKW	NOT REPORTED
BS_K74PZET7	NantOmics
BS_K7MVS0Z7	NantOmics
BS_K81DR8XG	NantOmics
BS_K9VNW7JD	NOT REPORTED
BS_KBEX4RT2	BGI@CHOP Genome Center
BS_KBT7MQ6H	NantOmics
BS_KBXSSXWF	NOT REPORTED
BS_KC02E200	NOT REPORTED
BS_KDSTG5YY	NantOmics
BS_KE56MMY0	NantOmics
BS_KEA474HN	NantOmics
BS_KF0ZXDER	NantOmics
BS_KHW6ASK4	NOT REPORTED
BS_KN92S7YQ	NantOmics
BS_KND4B5CW	NantOmics
BS_KP735TJ6	NantOmics
BS_KPT2WPHW	NantOmics
BS_KR4MP5ET	NantOmics
BS_KSKZ9J7J	BGI@CHOP Genome Center
BS_KV05J5BX	NOT REPORTED
BS_KVAJYZ6F	BGI@CHOP Genome Center
BS_KVNGNETA	NantOmics
BS_KYF0Q0E7	BGI@CHOP Genome Center
BS_KYGRX01W	NOT REPORTED
BS_KZPR01BD	NantOmics
BS_M0QYNVK8	NantOmics
BS_M15PW2N0	NantOmics
BS_M1T1K5WV	NantOmics
BS_M462FWS9	NOT REPORTED
BS_M4NVX721	NantOmics
BS_M4TTKPNR	NantOmics
BS_M7HCF7DW	NantOmics
BS_M7QJ8VF0	NantOmics
BS_M85CXHDV	NantOmics
BS_M86ECPHK	NantOmics
BS_M8EA6R2A	NantOmics
BS_M8M56Z4Y	NantOmics
BS_M9C4RY4P	NantOmics
BS_MA1A3GY0	NantOmics
BS_MB7WN0ZB	BGI@CHOP Genome Center
BS_MBNSCVMH	NOT REPORTED
BS_MBSTWZA6	NantOmics
BS_MDEQHB6J	NOT REPORTED
BS_ME3HKN2C	NantOmics
BS_MEN59ZX5	NOT REPORTED
BS_MF9X3PKH	NantOmics
BS_MGAMKKBD	NantOmics
BS_MH01GQ2B	NOT REPORTED
BS_MKM0EEN1	NantOmics
BS_MM20BVW9	NantOmics
BS_MMNRZ1EQ	NantOmics
BS_MN5XVP5A	NantOmics
BS_MPE34NYZ	NOT REPORTED
BS_MQCKXD60	NantOmics
BS_MT15SGJN	BGI@CHOP Genome Center
BS_MV6ASWV9	NantOmics
BS_MVW01FPB	NantOmics
BS_MX23ZY0Y	NantOmics
BS_MY9D8XZ1	NantOmics
BS_MYNJDVWV	NOT REPORTED
BS_N05R3CT2	NOT REPORTED
BS_N0877CX1	NantOmics
BS_N13KZYRR	NOT REPORTED
BS_N1E0H8YQ	NantOmics
BS_N5B2CZMH	NantOmics
BS_N5DVEJXT	NantOmics
BS_N6N147BY	BGI@CHOP Genome Center
BS_N6NE6B3W	NantOmics
BS_N8J1DP02	NantOmics
BS_NB42PWZN	NantOmics
BS_NB5XWMJT	NantOmics
BS_NB9XXBW6	The Translational Genomics Research Institute
BS_NC4PWRVP	NOT REPORTED
BS_NDFDQBCZ	NantOmics
BS_NDRDM2A9	NantOmics
BS_NGHK9RZP	NantOmics
BS_NGSG2KB6	The Translational Genomics Research Institute
BS_NH7K4CD9	NantOmics
BS_NJ4WPQVK	NantOmics
BS_NJSZSZX5	NOT REPORTED
BS_NKEAAFMW	NantOmics
BS_NKGRBE18	NOT REPORTED
BS_NKRYMHEP	NantOmics
BS_NNPEC7W1	NantOmics
BS_NPQJ20KX	NantOmics
BS_NPVE58AT	NOT REPORTED
BS_NQB91P48	NantOmics
BS_NR090DDV	NOT REPORTED
BS_NRFQEQKP	NantOmics
BS_NRPG5K4K	NantOmics
BS_NT9NZYFD	NantOmics
BS_NZ71XCG3	NantOmics
BS_NZDEF29S	NOT REPORTED
BS_P0QF87WC	NantOmics
BS_P0W5VJH4	NantOmics
BS_P10Y42BX	NOT REPORTED
BS_P277RYX5	NantOmics
BS_P39SQPTS	NantOmics
BS_P4D8Y3S8	NantOmics
BS_P78SMRBS	NantOmics
BS_P9JP6JFA	NantOmics
BS_PEP9NZXN	NantOmics
BS_PGHK1JRW	NantOmics
BS_PGK832G2	NantOmics
BS_PJPGVD62	NantOmics
BS_PK18H7E7	NantOmics
BS_PKW05VZV	NantOmics
BS_PN2CE34A	NantOmics
BS_PNYN0AYD	NantOmics
BS_PQ6QEVE8	NantOmics
BS_PQ7CQFYR	NantOmics
BS_PRF6XPXV	NOT REPORTED
BS_PS0P3QJ3	BGI@CHOP Genome Center
BS_PSNBFWQV	NantOmics
